date | value
2009-01-02,0
2022-14-13 | 30
22 | 3
11-2-3 |
| 3
| 3
2010--05 | 14
2010-05 | 14
-2-23 | 3
2012-7- | 3
2025-01-23 | 3
2024-11-22 | 3
2015-13-05 | 17
2015-09-32 | 15.5
2009-1-5 | 15
2147483649-01-23 | 3
2010-2147483649-23 | 3
2010-05-2147483649 | 3
2009-01-11 | 0e
2009-10-06 | 15.5.5
2015- 09-05 | 2147483647
e2010-10-23 | 3
2010-10e-23 | 3
2009-01-16 | 0
2009-10-06 | -15.5
2009-10-06 | 15.5s
2009-10-06 | s15.5
2009-01-01 | 2147483647
2012-01-01 | 4147483647.5
2009-10-05 | 14
2009-10-05 | 18
2009-10-06 | 15.5
2009-01-08 | 0
800-01-01 | 0
2009-01-01 | 0
2022-03-29 | 14
2022-03-30 | 14
2023-05-05 | 25
